Party,Name,Handle,Class
Democrat,US Rep. Darren Soto,RepDarrenSoto,Politician
Democrat,Rep. Jacky Rosen,RepJackyRosen,Politician
Democrat,US Rep. Al Lawson Jr,RepAlLawsonJr,Politician
Democrat,Adriano Espaillat,RepEspaillat,Politician
Democrat,US Rep. Darren Soto,RepDarrenSoto,Politician
Democrat,Rep. Jacky Rosen,RepJackyRosen,Politician
Democrat,US Rep. Al Lawson Jr,RepAlLawsonJr,Politician
Democrat,Adriano Espaillat,RepEspaillat,Politician
Democrat,Rep. Blunt Rochester,RepBRochester,Politician
Democrat,Nanette D. Barragán,RepBarragan,Politician
Democrat,Tom Suozzi,RepTomSuozzi,Politician
Democrat,Rep. Ro Khanna,RepRoKhanna,Politician
Democrat,Rep. Ruben J. Kihuen,RepKihuen,Politician
Democrat,Rep. Donald McEachin,RepMcEachin,Politician
Democrat,Rep. Salud Carbajal,RepCarbajal,Politician
Democrat,Rep. Charlie Crist,RepCharlieCrist,Politician
Democrat,Rep. Lou Correa,RepLouCorrea,Politician
Democrat,Rep. Pramila Jayapal,RepJayapal,Politician
Democrat,Rep Josh Gottheimer,RepJoshG,Politician
Democrat,Raja Krishnamoorthi,CongressmanRaja,Politician
Democrat,Rep. Tom O'Halleran,RepOHalleran,Politician
Democrat,Rep. Jamie Raskin,RepRaskin,Politician
Democrat,Rep. Val Demings,RepValDemings,Politician
Democrat,Rep. Jimmy Panetta,RepJimmyPanetta,Politician
Republican,Debbie Lesko,RepDLesko,Politician
Republican,Ralph Norman,RepRalphNorman,Politician
Republican,Rep. Tom Garrett,RepTomGarrett,Politician
Republican,Rep. Arrington,RepArrington,Politician
Republican,Debbie Lesko,RepDLesko,Politician
Republican,Ralph Norman,RepRalphNorman,Politician
Republican,Rep. Tom Garrett,RepTomGarrett,Politician
Republican,Rep. Arrington,RepArrington,Politician
Republican,Jim Banks,RepJimBanks,Politician
Republican,Jason Lewis,RepJasonLewis,Politician
Republican,Rep. Mike Gallagher,RepGallagher,Politician
Republican,Dr. Neal Dunn,DrNealDunnFL2,Politician
Republican,John Faso,RepJohnFaso,Politician
Republican,Rep. Jack Bergman,RepJackBergman,Politician
Republican,Rep. Brian Mast,RepBrianMast,Politician
Republican,Trey Hollingsworth,RepTrey,Politician
Republican,Rep. Paul Mitchell,RepPaulMitchell,Politician
Republican,Drew Ferguson,RepDrewFerguson,Politician
Republican,House Budget GOP,housebudgetGOP,Politician
Republican,Office of Rep. Amash,amashoffice,Politician
Republican,Warren Davidson,WarrenDavidson,Politician
Republican,Darin LaHood,RepLaHood,Politician
Republican,House Committee on Small Business,HouseSmallBiz,Politician
Republican,Rep. Mia Love,RepMiaLove,Politician
Republican,Donald Trump,,Politician
Republican,Mike Pence,,Politician
,lindsay graham,,
,kamala harris,,
,corey booker,,
,bernie sanders,,
,joe biden,,
,barack obama,,
,hillary clinton,,
,bill clinton,,
,ted cruz,,
,sarah palin,,
,john mccain,,
,nancy pelosi,,
,chuck schumer,,
,mitch mcconnell,,
,paul ryan,,
